"projectID","projectAcronym","name","country","city","role","activityType","SME","ecContribution","netEcContribution","totalCost","geolocation"
953201,"GUTVIBRATIONS","STICHTING AMSTERDAM UMC","NL","Amsterdam","coordinator","REC","false","2187375","2187375","0","52.334616,4.8598299"
953201,"GUTVIBRATIONS","STEMCELL TECHNOLOGIES UK LTD","UK","Cambridge","participant","PRC","TRUE","967500","967500","0","51.5111014,-0.5940681"
953201,"GUTVIBRATIONS","DANMARKS TEKNISKE UNIVERSITET","DK","Kongens Lyngby","participant","HES","false","971250","971250","0","55.7718649,12.5051413"
953201,"GUTVIBRATIONS","KATHOLIEKE UNIVERSITEIT LEUVEN","BE","Leuven","participant","HES","false","514000","514000","0","50.8780592,4.699407640209"
953201,"GUTVIBRATIONS","UNIQURE BIOPHARMA BV","NL","Amsterdam","participant","PRC","false","453750","453750","0","52.2978201,4.9540824"
953201,"GUTVIBRATIONS","BIOLAMINA AB","SE","Sundbyberg","participant","PRC","TRUE","377500","377500","0","59.6749712,14.5208584"
875510,"EUbOPEN","ACADEMISCH ZIEKENHUIS LEIDEN","NL","Leiden","participant","HES","false","984901","984901","1335000","52.1663515,4.4789787"
875510,"EUbOPEN","PFIZER LIMITED","UK","Sandwich","participant","PRC","false","0","0","1250000","51.3108325,1.3497847"
875510,"EUbOPEN","STRUCTURAL GENOMICS CONSORTIUM LBG","UK","London","participant","REC","false","102058.75","102058.75","217773.75","51.52535,-0.1355137"
875510,"EUbOPEN","LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN","DE","MUNCHEN","participant","HES","false","12500","12500","121750","48.15055845,11.5798871545463"
875510,"EUbOPEN","Ontario Institute for Cancer Research","CA","Toronto","participant","REC","false","0","0","999999","43.653963,-79.387207"
875510,"EUbOPEN","KUNGLIGA TEKNISKA HOEGSKOLAN","SE","Stockholm","participant","HES","false","0","0","0","59.3498183,18.0707826"
875510,"EUbOPEN","TAKEDA PHARMACEUTICALS INTERNATIONAL AG","CH","Glattpark","participant","PRC","false","0","0","2400000","47.4233874,8.5596797"
875510,"EUbOPEN","EUROPEAN MOLECULAR BIOLOGY LABORATORY","DE","Heidelberg","participant","REC","false","331990","331990","599198.83","49.38466795,8.71059058213846"
875510,"EUbOPEN","FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV","DE","Munchen","participant","REC","false","562400","562400","912500","48.1322664,11.5296222"
875510,"EUbOPEN","UNIVERSITY OF DUNDEE","UK","Dundee","participant","HES","false","984901","984901","1335000","56.4600152,-2.9706994"
875510,"EUbOPEN","THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL","US","Chapel Hill","participant","HES","false","0","0","2402018.75","35.9131996,-79.0558444"
875510,"EUbOPEN","DIAMOND LIGHT SOURCE LIMITED","UK","Didcot","participant","OTH","false","0","0","2785381","51.6056908,-1.2467922"
875510,"EUbOPEN","BOEHRINGER INGELHEIM INTERNATIONALGMBH","DE","Ingelheim","participant","PRC","false","0","0","2700801.17","49.9681904,8.029672208889835"
875510,"EUbOPEN","EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH","CH","Zuerich","participant","HES","false","984901","984901","1335000","47.3764534,8.54770931489751"
